Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$57,901.35","$43,653,469,489","$1,082,649,571,520",-1.17%,2.40%,7.58%
Ethereum,ETH,"$3,095.73","$34,788,328,631","$358,242,952,018",-1.57%,6.57%,23.58%
Binance Coin,BNB,$647.75,"$4,340,123,520","$99,385,746,538",-0.69%,4.78%,20.76%
XRP,XRP,$1.56,"$6,181,898,039","$70,925,023,250",-1.84%,-0.58%,24.74%
Tether,USDT,$1.00,"$93,076,300,277","$52,060,667,483",0.01%,0.02%,0.03%
Dogecoin,DOGE,$0.3963,"$6,156,360,155","$51,300,109,232",1.45%,5.64%,45.35%
Cardano,ADA,$1.35,"$1,976,358,276","$43,075,112,125",-1.02%,1.80%,9.16%
Polkadot,DOT,$37.21,"$1,541,891,085","$34,779,471,837",-1.27%,2.79%,13.85%
Uniswap,UNI,$42.72,"$1,055,825,718","$22,357,452,256",-1.58%,2.20%,18.73%
Bitcoin Cash,BCH,"$1,003.63","$2,825,230,536","$18,793,808,253",-1.39%,2.93%,20.04%
Litecoin,LTC,$275.92,"$3,508,828,193","$18,418,498,602",-1.51%,2.70%,13.56%
Chainlink,LINK,$39.76,"$1,243,451,278","$16,661,582,136",-1.06%,1.68%,14.41%
USD Coin,USDC,$1.00,"$1,989,358,993","$14,380,951,195",0.00%,-0.01%,-0.01%
VeChain,VET,$0.2127,"$2,119,627,585","$13,676,831,771",-2.57%,1.92%,12.60%
Solana,SOL,$47.64,"$451,024,042","$12,987,305,600",-0.47%,2.69%,3.59%
Stellar,XLM,$0.5483,"$1,561,866,402","$12,596,963,689",-1.66%,4.84%,16.75%
THETA,THETA,$11.53,"$346,611,547","$11,531,730,064",-1.96%,3.58%,5.39%
Filecoin,FIL,$160.11,"$905,212,864","$11,095,119,874",-1.24%,0.44%,10.10%
Wrapped Bitcoin,WBTC,"$58,497.73","$174,812,445","$9,802,341,785",-0.29%,3.06%,8.69%
TRON,TRX,$0.1325,"$2,129,874,384","$9,493,129,040",-1.30%,4.20%,16.68%
Neo,NEO,$107.28,"$1,772,366,251","$7,567,499,700",-2.84%,4.08%,22.38%
Monero,XMR,$414.42,"$415,234,506","$7,418,549,002",-1.28%,1.47%,9.56%
Terra,LUNA,$18.05,"$645,887,542","$7,046,984,104",-1.49%,4.90%,4.71%
Binance USD,BUSD,$1.00,"$5,848,692,025","$6,976,362,149",-0.01%,-0.01%,0.02%
PancakeSwap,CAKE,$41.16,"$614,189,461","$6,662,352,542",-2.34%,0.52%,23.64%
Bitcoin SV,BSV,$343.94,"$1,452,364,490","$6,439,426,178",-2.12%,3.94%,32.85%
EOS,EOS,$6.67,"$2,258,427,663","$6,360,479,057",-1.92%,3.77%,18.73%
Aave,AAVE,$504.79,"$644,101,757","$6,303,833,025",-1.78%,3.61%,24.68%
IOTA,MIOTA,$2.12,"$135,509,868","$5,903,966,269",-0.37%,3.75%,7.32%
Klaytn,KLAY,$2.38,"$100,736,233","$5,862,222,498",-0.84%,3.26%,-0.25%
Ethereum Classic,ETC,$48.59,"$4,471,902,812","$5,652,190,012",-1.90%,9.09%,52.08%
FTX Token,FTT,$56.63,"$112,316,311","$5,343,242,991",-1.48%,3.96%,10.87%
Maker,MKR,"$5,319.02","$590,067,835","$5,293,696,148",-0.55%,9.61%,33.24%
Cosmos,ATOM,$23.08,"$396,775,667","$4,864,956,988",-1.49%,1.42%,10.91%
Huobi Token,HT,$26.47,"$1,079,270,277","$4,838,910,816",-2.56%,-2.02%,45.39%
Crypto.com Coin,CRO,$0.1906,"$79,150,654","$4,814,518,999",-0.73%,1.70%,1.67%
BitTorrent,BTT,$0.007003,"$738,357,327","$4,621,863,771",-1.49%,0.38%,1.08%
Tezos,XTZ,$5.74,"$187,995,033","$4,411,742,070",-2.06%,3.57%,12.94%
Algorand,ALGO,$1.44,"$218,770,533","$4,264,389,073",-0.85%,5.01%,18.16%
Polygon,MATIC,$0.8051,"$857,458,680","$4,177,229,448",-1.61%,1.72%,61.36%
Avalanche,AVAX,$31.52,"$290,628,993","$4,059,662,918",-4.16%,-0.27%,23.60%
Compound,COMP,$791.70,"$435,369,316","$4,018,355,341",-0.88%,-6.75%,25.15%
Dai,DAI,$1.00,"$492,939,170","$4,012,460,531",-0.07%,0.03%,0.06%
THORChain,RUNE,$15.39,"$85,735,268","$3,620,549,536",-1.13%,4.00%,12.84%
Waves,WAVES,$33.28,"$1,047,129,671","$3,494,868,002",-3.13%,37.39%,98.29%
Kusama,KSM,$413.43,"$208,334,913","$3,501,801,468",-1.66%,-1.77%,12.31%
Dash,DASH,$326.99,"$770,876,326","$3,306,759,932",-2.42%,4.91%,19.37%
Elrond,EGLD,$188.42,"$96,542,889","$3,276,849,531",-2.42%,7.50%,12.19%
Bitcoin BEP2,BTCB,"$58,040.01","$294,311,131","$3,168,869,521",-0.99%,2.62%,8.28%
NEM,XEM,$0.3469,"$166,112,196","$3,121,726,509",-2.17%,2.72%,14.28%
Chiliz,CHZ,$0.5332,"$370,680,103","$2,978,751,710",-1.25%,0.22%,16.70%
Zcash,ZEC,$247.79,"$454,354,892","$2,896,308,015",-1.39%,0.49%,11.55%
Hedera Hashgraph,HBAR,$0.3285,"$339,241,088","$2,711,085,008",-1.69%,3.86%,16.08%
Holo,HOT,$0.01561,"$306,535,122","$2,641,463,672",-2.18%,0.36%,18.50%
Decred,DCR,$205.20,"$22,511,931","$2,644,643,685",-0.92%,-0.62%,-0.12%
UNUS SED LEO,LEO,$2.49,"$3,600,510","$2,489,979,883",-0.27%,2.73%,8.79%
Zilliqa,ZIL,$0.2117,"$190,036,026","$2,379,622,747",-1.08%,4.29%,29.94%
OKB,OKB,$39.43,"$1,227,490,441","$2,366,052,920",-2.39%,5.27%,128.58%
Stacks,STX,$2.10,"$18,945,011","$2,347,178,849",-1.34%,1.28%,5.70%
Decentraland,MANA,$1.43,"$155,264,692","$2,259,406,203",-1.23%,1.34%,19.10%
DigiByte,DGB,$0.1558,"$150,732,126","$2,224,551,609",-2.12%,-3.17%,26.50%
Enjin Coin,ENJ,$2.65,"$219,293,053","$2,210,260,360",-2.70%,1.04%,9.41%
Nexo,NEXO,$3.82,"$12,622,363","$2,140,810,498",0.10%,4.91%,7.00%
Synthetix,SNX,$18.20,"$156,052,622","$2,090,428,906",-3.76%,5.63%,15.68%
Theta Fuel,TFUEL,$0.3851,"$77,836,108","$2,029,568,035",-0.11%,10.86%,24.16%
The Graph,GRT,$1.62,"$158,413,551","$2,018,841,806",-2.26%,0.43%,8.78%
NEAR Protocol,NEAR,$5.35,"$60,166,470","$1,958,336,313",-1.71%,0.94%,5.28%
TerraUSD,UST,$0.9997,"$46,495,217","$1,975,304,549",-0.03%,-0.11%,-0.12%
Siacoin,SC,$0.04088,"$195,435,533","$1,946,368,386",-1.87%,-0.91%,17.47%
Basic Attention Token,BAT,$1.28,"$355,112,377","$1,913,680,034",-1.96%,2.22%,9.37%
yearn.finance,YFI,"$51,744.65","$336,939,701","$1,895,662,214",1.56%,7.03%,18.17%
Fantom,FTM,$0.7372,"$249,302,419","$1,876,075,560",-3.69%,-7.78%,85.93%
SushiSwap,SUSHI,$14.05,"$410,200,660","$1,787,397,165",-1.70%,-0.63%,15.01%
Bitcoin Gold,BTG,$95.75,"$83,088,170","$1,676,886,182",-1.53%,1.38%,14.64%
Ravencoin,RVN,$0.1874,"$241,750,563","$1,628,706,649",-1.98%,-3.76%,19.11%
Ontology,ONT,$1.95,"$796,779,892","$1,595,892,918",-3.45%,10.08%,25.13%
UMA,UMA,$25.83,"$32,214,747","$1,551,644,075",-2.27%,-0.42%,-1.24%
Qtum,QTUM,$15.73,"$516,475,785","$1,547,175,449",-1.35%,2.32%,17.56%
ICON,ICX,$2.48,"$72,186,795","$1,545,037,723",-2.20%,-3.30%,26.95%
Celsius,CEL,$6.56,"$9,188,357","$1,567,494,353",1.79%,5.05%,5.80%
Helium,HNT,$18.65,"$28,999,678","$1,512,127,817",-1.59%,-2.11%,29.59%
0x,ZRX,$1.91,"$152,996,610","$1,490,586,990",-2.29%,1.27%,25.75%
SwissBorg,CHSB,$1.47,"$13,351,082","$1,472,396,868",-0.71%,5.61%,36.70%
BakeryToken,BAKE,$7.23,"$557,127,195","$1,364,303,020",-1.79%,-11.77%,414.70%
Nano,NANO,$10.21,"$202,374,259","$1,359,988,190",-2.34%,-5.85%,31.14%
Harmony,ONE,$0.1425,"$79,047,310","$1,354,424,102",-1.78%,0.59%,1.84%
Horizen,ZEN,$120.28,"$54,476,274","$1,327,957,015",-2.93%,-0.02%,-4.08%
Bancor,BNT,$7.11,"$73,881,355","$1,269,236,522",-1.32%,2.51%,13.34%
Celo,CELO,$5.61,"$47,818,817","$1,265,045,878",-0.51%,-5.50%,-6.52%
OMG Network,OMG,$8.84,"$567,415,025","$1,240,451,484",-2.84%,13.59%,27.01%
KuCoin Token,KCS,$15.34,"$36,317,885","$1,228,850,746",-0.38%,3.89%,18.06%
Ankr,ANKR,$0.1728,"$80,062,170","$1,208,976,890",-2.86%,1.09%,23.70%
Venus,XVS,$122.11,"$654,564,022","$1,190,108,380",-3.32%,17.19%,72.18%
Reserve Rights,RSR,$0.08913,"$76,819,941","$1,172,956,506",-1.98%,1.06%,6.17%
Revain,REV,$0.01292,"$5,331,867","$1,099,322,830",-0.01%,0.12%,-0.07%
IOST,IOST,$0.06453,"$300,447,167","$1,061,846,736",-2.04%,3.49%,22.25%
Flow,FLOW,$31.36,"$38,406,489","$1,065,216,928",-0.27%,2.70%,6.90%
Dent,DENT,$0.01113,"$148,764,915","$1,046,997,040",-4.01%,4.76%,19.22%
Ren,REN,$0.9758,"$114,005,640","$973,061,921",-2.73%,1.95%,16.76%
Voyager Token,VGX,$4.41,"$7,196,317","$979,779,463",-0.59%,-4.13%,20.24%
Paxos Standard,PAX,$0.9995,"$74,243,717","$909,367,987",0.00%,0.05%,0.12%
Verge,XVG,$0.05505,"$45,912,136","$905,535,493",-1.37%,1.72%,11.45%
Arweave,AR,$27.12,"$15,289,175","$905,624,459",-0.85%,-1.37%,-11.15%
Curve DAO Token,CRV,$3.23,"$166,350,069","$882,549,268",-3.51%,-0.62%,17.05%
1inch,1INCH,$5.62,"$113,885,300","$880,046,812",-1.04%,4.67%,24.70%
Telcoin,TEL,$0.01611,"$45,326,629","$825,730,246",2.13%,30.60%,144.78%
WazirX,WRX,$2.74,"$95,434,240","$803,615,867",-1.21%,1.93%,2.57%
Conflux Network,CFX,$0.9562,"$15,533,302","$791,922,943",-1.73%,0.03%,4.29%
Lisk,LSK,$5.99,"$94,321,804","$766,647,395",-2.94%,12.50%,33.56%
renBTC,RENBTC,"$58,142.39","$6,178,598","$733,568,358",-0.73%,2.47%,8.10%
Loopring,LRC,$0.5795,"$74,953,995","$708,606,924",-2.03%,3.30%,17.28%
Livepeer,LPT,$33.57,"$11,214,635","$710,400,742",-1.16%,0.13%,16.12%
HUSD,HUSD,$1.00,"$883,139,998","$701,016,683",0.05%,0.05%,0.18%
BTMX,BTMX,$0.9145,"$2,058,983","$685,287,748",0.31%,-2.78%,1.91%
Nervos Network,CKB,$0.02724,"$28,506,780","$678,455,247",-1.45%,0.09%,21.37%
Kyber Network Crystal Legacy,KNC,$3.26,"$89,025,886","$668,693,708",-3.04%,3.60%,20.03%
VeThor Token,VTHO,$0.0183,"$88,931,405","$640,255,069",-1.23%,0.47%,0.43%
Status,SNT,$0.1825,"$38,662,342","$633,260,474",-0.73%,1.91%,19.21%
IoTeX,IOTX,$0.06393,"$77,929,067","$616,601,645",-0.96%,0.50%,59.88%
Bitcoin Standard Hashrate Token,BTCST,$71.81,"$30,832,518","$607,819,824",-2.12%,-2.06%,7.18%
Mdex,MDX,$3.17,"$314,438,306","$605,790,064",-2.37%,-2.88%,13.54%
Storj,STORJ,$2.09,"$78,427,364","$598,738,526",-2.27%,0.42%,13.36%
Serum,SRM,$11.85,"$572,080,710","$592,594,761",-3.34%,16.36%,21.22%
Ocean Protocol,OCEAN,$1.39,"$51,541,854","$590,103,769",-2.88%,4.05%,13.75%
ABBC Coin,ABBC,$0.71,"$72,812,121","$598,832,725",0.90%,18.44%,128.77%
Reef,REEF,$0.04242,"$133,874,252","$537,264,724",-0.61%,8.05%,20.78%
Alpha Finance Lab,ALPHA,$2.12,"$104,393,854","$531,092,746",-2.43%,6.08%,54.94%
Origin Protocol,OGN,$1.85,"$107,074,660","$524,207,919",-2.41%,3.20%,4.53%
Swipe,SXP,$5.51,"$886,921,406","$504,479,717",-1.56%,11.66%,52.52%
Golem,GLM,$0.4998,"$19,382,721","$499,845,073",-1.23%,9.27%,24.24%
MCO,MCO,$31.35,"$3,315,543","$495,171,072",2.69%,7.89%,-13.37%
Fetch.ai,FET,$0.6445,"$43,959,875","$480,849,033",-3.82%,0.66%,39.01%
ZKSwap,ZKS,$2.44,"$35,909,540","$482,543,873",-1.10%,-0.11%,4.91%
Energy Web Token,EWT,$16.22,"$4,406,295","$487,502,356",0.24%,5.97%,9.92%
StormX,STMX,$0.05675,"$25,572,431","$477,392,106",-1.52%,-0.05%,24.55%
Quant,QNT,$39.84,"$8,503,462","$480,927,108",0.32%,-3.00%,-4.54%
Injective Protocol,INJ,$19.77,"$65,198,609","$475,605,731",-1.89%,-0.64%,9.79%
FUNToken,FUN,$0.04525,"$95,265,124","$465,985,829",-3.77%,17.00%,43.41%
Augur,REP,$42.27,"$44,641,526","$464,979,611",-1.36%,5.28%,17.57%
DODO,DODO,$4.12,"$133,471,135","$455,123,502",-2.13%,11.69%,33.43%
SKALE Network,SKL,$0.6824,"$102,710,153","$450,646,980",-2.95%,6.89%,29.59%
Bitcoin Diamond,BCD,$2.43,"$11,427,429","$452,404,978",-0.56%,1.45%,11.47%
Balancer,BAL,$64.20,"$100,063,899","$445,808,600",-2.13%,5.93%,22.19%
Kin,KIN,$0.000286,"$5,784,463","$434,132,856",-3.15%,15.23%,30.06%
WAX,WAXP,$0.286,"$11,097,826","$445,635,707",-2.09%,3.93%,47.46%
NKN,NKN,$0.7498,"$71,404,047","$437,634,070",-2.75%,-3.72%,18.69%
The Sandbox,SAND,$0.6098,"$87,745,939","$418,827,584",-2.10%,4.90%,27.35%
WINkLink,WIN,$0.00134,"$260,885,362","$420,150,904",-1.36%,4.46%,10.29%
MaidSafeCoin,MAID,$0.9026,"$1,798,900","$408,492,103",-0.97%,0.39%,-10.32%
Civic,CVC,$0.5951,"$119,117,201","$398,709,276",-3.16%,15.08%,20.93%
Ardor,ARDR,$0.3943,"$7,046,537","$393,918,929",-1.48%,2.06%,14.84%
MediBloc,MED,$0.1435,"$232,770","$392,988,195",-0.56%,-1.58%,23.98%
Celer Network,CELR,$0.07,"$48,143,150","$385,456,005",-1.37%,1.39%,26.77%
Aragon,ANT,$9.73,"$46,767,139","$385,507,881",-0.79%,3.41%,17.35%
TrustSwap,SWAP,$4.73,"$7,296,694","$386,410,893",-0.23%,4.98%,13.17%
Kava.io,KAVA,$6.46,"$133,325,080","$377,920,016",-1.92%,16.14%,35.07%
Band Protocol,BAND,$18.11,"$129,289,690","$371,132,948",-1.98%,3.50%,19.98%
BitShares,BTS,$0.1235,"$36,763,034","$369,764,931",-2.30%,0.74%,24.52%
Prometeus,PROM,$61.19,"$60,260,405","$374,468,017",-2.18%,-7.55%,578.95%
SingularityNET,AGI,$0.4262,"$3,931,965","$369,827,143",-2.28%,7.87%,10.89%
GateToken,GT,$4.81,"$15,330,994","$366,325,987",-0.62%,3.09%,42.61%
Neutrino USD,USDN,$0.9944,"$12,260,423","$356,421,863",-1.32%,0.00%,-0.27%
Komodo,KMD,$2.82,"$10,591,565","$354,162,166",-1.47%,2.55%,17.24%
Syscoin,SYS,$0.5786,"$21,575,915","$353,705,064",-1.56%,0.76%,77.27%
Gnosis,GNO,$236.95,"$2,038,498","$356,518,176",0.03%,4.85%,25.17%
Steem,STEEM,$0.9417,"$9,861,987","$351,676,687",-1.39%,1.20%,12.19%
Wootrade,WOO,$0.9207,"$28,319,892","$346,388,977",-0.53%,-0.45%,-2.44%
Stratis,STRAX,$2.58,"$30,949,031","$337,507,064",-2.94%,6.38%,38.69%
Numeraire,NMR,$67.76,"$22,527,149","$332,791,244",-1.80%,2.24%,7.84%
NuCypher,NU,$0.511,"$15,622,709","$327,537,094",-0.15%,1.08%,21.26%
Utrust,UTK,$0.7186,"$382,234,415","$323,382,002",-3.41%,10.54%,57.53%
Orbs,ORBS,$0.143,"$1,786,171","$318,807,898",-0.07%,1.78%,12.25%
TrueUSD,TUSD,$0.9998,"$90,855,593","$320,940,030",-0.01%,0.06%,0.14%
Velas,VLX,$0.1499,"$3,497,619","$318,439,689",-0.35%,3.61%,14.15%
Badger DAO,BADGER,$36.45,"$25,472,088","$313,590,747",-1.52%,1.88%,26.92%
Wanchain,WAN,$1.80,"$10,150,120","$303,694,138",-1.96%,0.43%,23.68%
JUST,JST,$0.1328,"$225,453,109","$300,121,192",-2.09%,5.68%,13.47%
Metal,MTL,$4.48,"$96,275,038","$294,018,695",-1.07%,13.48%,24.12%
MyNeighborAlice,ALICE,$16.67,"$162,864,770","$290,043,015",-4.27%,-12.06%,83.88%
Haven Protocol,XHV,$20.37,"$2,064,145","$293,123,147",-0.69%,2.76%,-5.22%
Unibright,UBT,$1.92,"$2,853,946","$287,386,737",-0.76%,4.20%,7.33%
SONM,SNM,$0.7877,"$6,956,251","$283,254,927",-0.47%,-5.72%,844.18%
Uquid Coin,UQC,$28.15,"$10,726,962","$281,516,032",-1.70%,8.74%,14.75%
Metadium,META,$0.2217,"$5,315,363","$276,108,827",-0.25%,1.67%,28.79%
Populous,PPT,$5.14,"$6,882,307","$273,566,146",1.22%,-0.99%,17.09%
Ark,ARK,$2.11,"$5,171,563","$271,755,479",0.03%,5.08%,21.23%
Bytom,BTM,$0.1901,"$52,467,989","$271,231,826",-2.37%,1.57%,7.49%
iExec RLC,RLC,$3.34,"$30,234,714","$267,121,648",-1.89%,9.86%,34.52%
Travala.com,AVA,$5.16,"$11,897,700","$257,123,943",1.76%,2.49%,1.86%
Ontology Gas,ONG,$1.01,"$10,833,935","$261,100,595",-1.48%,2.38%,18.75%
Oasis Network,ROSE,$0.1705,"$20,869,996","$255,798,051",-2.41%,7.93%,17.45%
ZB Token,ZB,$0.555,"$18,221,310","$257,108,379",-0.07%,2.44%,25.33%
COTI,COTI,$0.3816,"$44,379,133","$255,575,237",-1.87%,-1.59%,24.03%
Syntropy,NOIA,$0.6931,"$2,843,359","$255,128,710",-0.20%,0.60%,-7.54%
OriginTrail,TRAC,$0.7166,"$2,343,590","$255,770,066",-1.08%,8.65%,21.59%
Handshake,HNS,$0.6632,"$976,388","$250,802,786",-2.30%,6.26%,23.73%
Everipedia,IQ,$0.02493,"$14,408,988","$249,589,864",-0.89%,9.46%,22.60%
Polymath,POLY,$0.4089,"$2,797,909","$249,594,373",-0.51%,3.17%,13.81%
aelf,ELF,$0.4559,"$24,106,110","$248,254,270",-0.94%,2.00%,18.92%
Ampleforth,AMPL,$1.17,"$7,542,695","$248,260,406",-0.54%,7.40%,-3.62%
